Observatoire des territoires - ANCT; ; ; ; ; ; ; ; ; 
Référentiel géographique : Communes (2024); ; ; ; ; ; ; ; ; 
Code;Libellé;Nombre d'Arrêtés de Catastrophes Naturelles publiés au J.O.;Evolution Surface agricole utilisée (SAU) (2010-2020) 2020;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Superficie 2021;Consommation d'espaces naturels, agricoles et forestiers (ENAF) entre le 1er janvier 2009 et le 1er janvier 2023
01139;Curciat-Dongalon;2;1.2;1.8;0;2.1;96.1;23.9;4.3
01140;Curtafond;2;0.9;4.5;0;13.6;81.9;12.4;6.5
01141;Cuzieu;1;0;13.7;0;42.8;43.5;4.9;3.3
01142;Dagneux;4;49.8;42.8;0;14.8;42.4;6.7;18.1
01143;Divonne-les-Bains;5;8.2;19.1;1.2;54.8;23.8;33.9;49.7
01145;Dompierre-sur-Veyle;0;20.1;1.6;0;26.7;62.8;29.1;7.2
01146;Dompierre-sur-Chalaronne;0;-23.4;7.4;0;8.7;83.9;4.8;9.4
01147;Domsure;3;20.6;1.8;0;15.6;82.6;15.2;14.1
01148;Dortan;7;-39.4;5.3;0;57.2;32.5;18.1;23
01149;Douvres;8;13.6;14.2;0;43.9;41.9;5.3;7.7
01150;Drom;1;15.6;3.2;0;51;45.7;7.8;1.4
01151;Druillat;1;21.2;9.3;0;34.6;54.8;20.7;8.7
01152;Échallon;2;77.6;2.7;0;80.2;17.1;28.1;5.1
01153;Échenevex;2;-65.3;12.4;0;58.2;29.4;16.4;12.4
01155;Évosges;1;11;0;0;70.8;29.2;12.1;1.8
01156;Faramans;2;-10.8;4.1;0;18.9;70.5;11.2;8.4
01157;Fareins;14;-56.5;29.9;0;0;64.7;8.2;35.2
01158;Farges;0;N/A - résultat non disponible;3.6;0;64.2;32.3;14.3;8.1
01159;Feillens;8;-10.8;22.5;0;6.5;67.3;14.9;34.7
01160;Ferney-Voltaire;5;10.9;41.8;0;16.6;41.6;4.8;12.2
01162;Flaxieu;0;8.3;0;42.8;16.2;41;2.8;1.9
01163;Foissiat;5;-0.6;2.2;0;11.6;85.7;40.4;17.4
01165;Francheleins;3;70.2;6.6;0;0;93.4;13.6;7.4
01166;Frans;6;3.3;18.8;0;0;81.2;8;15
01167;Garnerans;5;117.9;9.2;0;0.7;88.4;8.6;7.4
01169;Genouilleux;4;-18.2;8.6;0;4.5;82.7;4.1;4.8
