#-----------------------------------------------------------------------------
# Date d'extraction : 11/02/2025 - 14h24 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : Q50
# Scenario :
#     REF : référence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;NORTXm_seas_JJA;NORTX30D_yr;NORRx1d_yr;NORIFM40_yr;NORSWI04_yr;
#-----------------------------------------------------------------------------
1789;42.4198;2.8697;REF;25.76;15.9;81.55;14;184;
1791;42.4186;3.0636;REF;24.44;5.1;89.38;25;180;
1792;42.4179;3.1605;REF;25.16;4.9;84.03;35;192;
1848;42.2372;8.576;REF;26.24;9.1;55.76;8;153;
1849;42.2315;8.6723;REF;24.45;9.8;63.11;9;114;
1850;42.2256;8.7686;REF;23.88;9;76.79;9;104;
1851;42.2197;8.8649;REF;21.8;2.7;76.37;8;93;
1852;42.2137;8.9611;REF;18.08;0;80.81;1;82;
1853;42.2076;9.0574;REF;15.91;0;82.75;0;75;
1854;42.2015;9.1536;REF;21.64;1.3;72.16;2;99;
1855;42.1952;9.2498;REF;25.32;13.7;77.63;5;130;
1856;42.1889;9.346;REF;26.03;14.3;96.97;5;128;
1857;42.1824;9.4421;REF;26.51;9;89.4;4;156;
1858;42.1759;9.5383;REF;26.69;9;86.46;4;155;
1918;42.4897;1.5116;REF;18.49;0.1;56.88;0;80;
1919;42.4905;1.6087;REF;12.49;0;63.34;0;30;
1920;42.4911;1.7057;REF;11.4;0;64.66;0;37;
1921;42.4916;1.8028;REF;13.31;0;50.82;0;49;
1922;42.4921;1.8998;REF;16.39;0;47.08;0;111;
1923;42.4924;1.9969;REF;18.18;0.1;45.78;0;133;
1924;42.4927;2.0939;REF;16.98;0;46.74;0;120;
1925;42.4929;2.191;REF;16.14;0;69.29;0;67;
1926;42.4929;2.2881;REF;16.04;0;69.79;0;62;
1927;42.4929;2.3851;REF;16.73;0;73.31;0;78;
1928;42.4929;2.4822;REF;14.05;0;124.27;0;12;
1929;42.4927;2.5792;REF;21.56;1.5;100.98;0;48;
1930;42.4924;2.6763;REF;25.29;12.2;87.83;2;97;
1931;42.4921;2.7733;REF;26.06;16.9;81.55;13;171;
1932;42.4916;2.8704;REF;25.29;12.9;86;8;161;
1933;42.4911;2.9674;REF;22.76;2.2;99.23;5;120;
1934;42.4905;3.0645;REF;24.38;4.9;92.32;23;155;
1935;42.4898;3.1615;REF;25.42;5.8;82.47;38;187;
1991;42.3088;8.5836;REF;26.44;9.2;52.22;8;152;
1992;42.303;8.6801;REF;25.9;11.7;55.41;9;150;
1993;42.2972;8.7765;REF;22.05;2.2;69.78;2;96;
1994;42.2913;8.8729;REF;18.16;0;82.58;1;76;
1995;42.2853;8.9693;REF;18.08;0;81.87;1;82;
1996;42.2792;9.0656;REF;18.78;0;78.12;1;87;
1997;42.273;9.162;REF;23.18;4.8;74.49;3;113;
1998;42.2667;9.2583;REF;25.56;13.3;107.22;3;112;
1999;42.2604;9.3546;REF;24.41;8.3;111.75;3;99;
2000;42.2539;9.4509;REF;25.79;11.7;99.44;4;124;
2001;42.2474;9.5471;REF;26.69;9;86.53;4;164;
2061;42.5616;1.5106;REF;17.15;0;57.78;0;64;
2062;42.5623;1.6078;REF;14.71;0;59.7;0;47;
2063;42.5629;1.7049;REF;12.76;0;61.58;0;36;
2064;42.5634;1.8021;REF;14;0;51.14;0;56;
2065;42.5639;1.8993;REF;12.02;0;53.84;0;50;
2066;42.5642;1.9965;REF;13.55;0;51.35;0;41;
2067;42.5645;2.0936;REF;16.42;0;47.57;0;83;
2068;42.5647;2.1908;REF;17.49;0;67.98;0;66;
2069;42.5648;2.288;REF;21.48;1.6;65.72;0;114;
2070;42.5648;2.3852;REF;23.21;4.2;62.88;0;127;
2071;42.5647;2.4823;REF;20.92;1.2;77.36;0;103;
2072;42.5645;2.5795;REF;22.31;2.3;100.97;1;106;
2073;42.5642;2.6767;REF;24.69;9.5;89.65;4;148;
2074;42.5639;2.7739;REF;26.42;18.7;79.93;11;141;
2075;42.5634;2.8711;REF;26.82;19.6;84.58;37;152;
2076;42.5629;2.9682;REF;27.14;22.1;84.27;40;190;
2077;42.5623;3.0654;REF;25.49;6;82.41;37;200;
2134;42.3804;8.5913;REF;26.08;8.4;50.61;8;185;
2135;42.3746;8.6879;REF;24.62;4.6;54.29;9;147;
2136;42.3688;8.7844;REF;24.85;11;64.85;3;110;
